Home,Products,Search,Prod_A,Prod_B,Prod_C,Cart,Purchase,Cluster
1,0,0,0,0,0,0,0,0
1,1,1,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0
1,1,1,1,0,0,1,1,0
1,0,1,1,1,0,1,1,0
1,1,1,0,1,0,0,0,0
1,0,1,0,0,0,1,1,0
1,0,1,0,1,0,0,0,0
1,1,1,0,1,0,1,0,0
1,0,1,1,1,1,1,1,0
1,0,1,1,1,1,1,0,0
1,0,1,1,0,1,0,0,0
1,0,1,1,0,0,1,1,0
1,1,1,0,0,1,1,0,0
1,0,1,1,1,1,0,0,0
1,1,1,1,1,0,1,1,0
1,0,1,0,0,0,1,1,0
1,0,1,0,0,0,1,0,0
1,1,0,1,1,0,0,0,0
1,0,0,1,0,0,0,0,0
1,1,1,0,0,1,1,1,0
1,0,1,0,0,1,1,1,0
1,1,0,0,0,0,1,0,0
1,1,0,1,0,0,0,0,0
1,1,0,1,1,1,1,0,0
1,1,1,0,1,1,0,0,0
1,1,0,1,1,1,1,0,0
1,1,0,1,1,0,1,0,0
1,1,1,1,1,1,0,0,0
1,1,0,1,1,1,1,0,0
1,1,0,1,0,1,1,0,0
1,1,0,1,0,1,0,0,0
1,1,0,0,1,0,1,1,0
1,1,1,0,1,1,0,0,0
1,1,0,1,0,1,1,0,0
1,1,1,1,1,1,0,0,0
1,1,0,1,1,0,1,1,0
0,1,1,0,1,0,1,0,0
0,1,1,0,1,0,1,0,0
0,1,0,0,1,0,0,0,0
0,1,0,0,1,0,0,0,0
0,1,0,0,1,1,0,0,0
0,1,0,0,1,0,1,1,0
0,1,0,0,1,0,0,0,0
0,1,1,0,1,1,0,0,0
0,1,1,0,1,0,1,0,0
0,1,1,0,1,1,1,1,0
0,0,1,1,0,0,1,1,0
1,0,1,1,0,0,0,0,0
1,0,1,1,0,1,1,0,0
0,1,1,1,0,1,1,1,0
0,1,1,1,0,1,1,0,0
1,1,0,1,0,1,1,1,0
1,1,0,1,0,0,0,0,0
0,1,0,1,1,0,0,0,0
0,0,0,1,1,0,1,1,0
0,0,0,1,1,0,0,0,0
1,0,1,0,0,0,0,0,0
1,1,0,1,0,0,1,1,0
1,1,0,1,1,0,1,1,0
1,1,1,1,0,0,1,0,0
1,1,0,1,0,0,0,0,0
1,1,0,1,1,0,1,1,0
1,1,1,1,0,1,1,1,0
1,1,0,1,0,0,1,0,0
1,0,1,0,0,0,0,0,0
1,1,0,1,0,0,0,0,0
1,1,0,1,0,0,1,1,0
1,1,1,0,0,1,0,0,0
1,1,0,1,0,0,1,1,0
1,1,1,1,0,1,1,1,0
1,1,0,1,1,0,1,1,0
0,0,0,1,0,0,1,1,0
1,0,0,1,0,0,0,0,0
1,0,0,1,0,1,1,1,0
0,1,0,1,0,0,1,1,0
0,0,0,1,0,0,1,0,0
1,1,1,1,0,1,1,1,0
1,1,0,1,0,0,1,1,0
0,0,0,1,1,0,0,0,0
0,0,0,1,0,0,1,1,0
0,0,0,1,1,0,1,1,0
0,1,1,0,1,0,0,0,0
0,1,0,0,1,1,1,1,0
0,1,0,0,1,1,0,0,0
0,1,0,0,1,1,0,0,0
0,1,0,0,1,1,0,0,0
0,1,0,0,1,1,1,1,0
0,1,0,0,1,1,0,0,0
0,1,1,0,1,1,0,0,0
0,1,0,0,1,1,1,1,0
0,1,0,0,1,1,1,1,0
0,1,1,0,1,0,0,0,0
0,1,0,0,1,1,1,1,0
0,1,0,0,1,1,1,0,0
0,1,0,0,1,1,0,0,0
0,1,0,0,1,1,1,1,0
0,1,0,0,1,1,1,1,0
0,1,0,0,1,1,0,0,0
0,1,1,0,1,1,1,0,0
Home,Products,Search,Prod_A,Prod_B,Prod_C,Cart,Purchase,Cluster
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0
1,0,1,0,1,0,0,0,0
1,0,1,1,0,1,0,0,0
1,0,1,1,1,1,0,0,0
1,1,0,1,1,0,0,0,0
1,0,0,1,0,0,0,0,0
1,1,0,1,0,0,0,0,0
1,1,1,0,1,1,0,0,0
1,1,1,1,1,1,0,0,0
1,1,0,1,0,1,0,0,0
1,1,1,0,1,1,0,0,0
1,1,1,1,1,1,0,0,0
0,1,0,0,1,0,0,0,0
0,1,0,0,1,0,0,0,0
0,1,0,0,1,1,0,0,0
0,1,0,0,1,0,0,0,0
0,1,1,0,1,1,0,0,0
1,0,1,1,0,0,0,0,0
1,1,0,1,0,0,0,0,0
0,1,0,1,1,0,0,0,0
0,0,0,1,1,0,0,0,0
1,0,1,0,0,0,0,0,0
1,1,0,1,0,0,0,0,0
1,0,1,0,0,0,0,0,0
1,1,0,1,0,0,0,0,0
1,1,1,0,0,1,0,0,0
1,0,0,1,0,0,0,0,0
0,0,0,1,1,0,0,0,0
0,1,1,0,1,0,0,0,0
0,1,0,0,1,1,0,0,0
0,1,0,0,1,1,0,0,0
0,1,0,0,1,1,0,0,0
0,1,0,0,1,1,0,0,0
0,1,1,0,1,1,0,0,0
0,1,1,0,1,0,0,0,0
0,1,0,0,1,1,0,0,0
0,1,0,0,1,1,0,0,0
1,1,1,0,0,0,1,0,1
1,1,1,1,0,0,1,1,1
1,0,1,1,1,0,1,1,1
1,0,1,0,0,0,1,1,1
1,1,1,0,1,0,1,0,1
1,0,1,1,1,1,1,1,1
1,0,1,1,1,1,1,0,1
1,0,1,1,0,0,1,1,1
1,1,1,0,0,1,1,0,1
1,1,1,1,1,0,1,1,1
1,0,1,0,0,0,1,1,1
1,0,1,0,0,0,1,0,1
1,1,1,0,0,1,1,1,1
1,0,1,0,0,1,1,1,1
1,1,0,0,0,0,1,0,1
1,1,0,1,1,1,1,0,1
1,1,0,1,1,1,1,0,1
1,1,0,1,1,0,1,0,1
1,1,0,1,1,1,1,0,1
1,1,0,1,0,1,1,0,1
1,1,0,0,1,0,1,1,1
1,1,0,1,0,1,1,0,1
1,1,0,1,1,0,1,1,1
0,1,1,0,1,0,1,0,1
0,1,1,0,1,0,1,0,1
0,1,0,0,1,0,1,1,1
0,1,1,0,1,0,1,0,1
0,1,1,0,1,1,1,1,1
0,0,1,1,0,0,1,1,1
1,0,1,1,0,1,1,0,1
0,1,1,1,0,1,1,1,1
0,1,1,1,0,1,1,0,1
1,1,0,1,0,1,1,1,1
0,0,0,1,1,0,1,1,1
1,1,0,1,0,0,1,1,1
1,1,0,1,1,0,1,1,1
1,1,1,1,0,0,1,0,1
1,1,0,1,1,0,1,1,1
1,1,1,1,0,1,1,1,1
1,1,0,1,0,0,1,0,1
1,1,0,1,0,0,1,1,1
1,1,0,1,0,0,1,1,1
1,1,1,1,0,1,1,1,1
1,1,0,1,1,0,1,1,1
0,0,0,1,0,0,1,1,1
1,0,0,1,0,1,1,1,1
0,1,0,1,0,0,1,1,1
0,0,0,1,0,0,1,0,1
1,1,1,1,0,1,1,1,1
1,1,0,1,0,0,1,1,1
0,0,0,1,0,0,1,1,1
0,0,0,1,1,0,1,1,1
0,1,0,0,1,1,1,1,1
0,1,0,0,1,1,1,1,1
0,1,0,0,1,1,1,1,1
0,1,0,0,1,1,1,1,1
0,1,0,0,1,1,1,1,1
0,1,0,0,1,1,1,0,1
0,1,0,0,1,1,1,1,1
0,1,0,0,1,1,1,1,1
0,1,1,0,1,1,1,0,1
Home,Products,Search,Prod_A,Prod_B,Prod_C,Cart,Purchase,Cluster
1,1,1,0,1,0,0,0,0
1,1,1,0,1,0,1,0,0
1,1,1,0,1,1,0,0,0
1,1,1,1,1,1,0,0,0
1,1,1,0,1,1,0,0,0
1,1,1,1,1,1,0,0,0
0,1,1,0,1,0,1,0,0
0,1,1,0,1,0,1,0,0
0,1,0,0,1,0,0,0,0
0,1,0,0,1,0,0,0,0
0,1,0,0,1,1,0,0,0
0,1,0,0,1,0,0,0,0
0,1,1,0,1,1,0,0,0
0,1,1,0,1,0,1,0,0
0,1,0,1,1,0,0,0,0
0,0,0,1,1,0,0,0,0
0,0,0,1,1,0,0,0,0
0,1,1,0,1,0,0,0,0
0,1,0,0,1,1,0,0,0
0,1,0,0,1,1,0,0,0
0,1,0,0,1,1,0,0,0
0,1,0,0,1,1,0,0,0
0,1,1,0,1,1,0,0,0
0,1,1,0,1,0,0,0,0
0,1,0,0,1,1,1,0,0
0,1,0,0,1,1,0,0,0
0,1,0,0,1,1,0,0,0
0,1,1,0,1,1,1,0,0
1,1,1,1,0,0,1,1,1
1,0,1,1,1,0,1,1,1
1,0,1,0,0,0,1,1,1
1,0,1,1,1,1,1,1,1
1,0,1,1,1,1,1,0,1
1,0,1,1,0,0,1,1,1
1,1,1,1,1,0,1,1,1
1,0,1,0,0,0,1,1,1
1,1,1,0,0,1,1,1,1
1,0,1,0,0,1,1,1,1
1,1,0,1,1,1,1,0,1
1,1,0,1,1,1,1,0,1
1,1,0,1,1,0,1,0,1
1,1,0,1,1,1,1,0,1
1,1,0,1,0,1,1,0,1
1,1,0,0,1,0,1,1,1
1,1,0,1,0,1,1,0,1
1,1,0,1,1,0,1,1,1
0,1,0,0,1,0,1,1,1
0,1,1,0,1,1,1,1,1
0,0,1,1,0,0,1,1,1
0,1,1,1,0,1,1,1,1
0,1,1,1,0,1,1,0,1
1,1,0,1,0,1,1,1,1
0,0,0,1,1,0,1,1,1
1,1,0,1,0,0,1,1,1
1,1,0,1,1,0,1,1,1
1,1,0,1,1,0,1,1,1
1,1,1,1,0,1,1,1,1
1,1,0,1,0,0,1,1,1
1,1,0,1,0,0,1,1,1
1,1,1,1,0,1,1,1,1
1,1,0,1,1,0,1,1,1
0,0,0,1,0,0,1,1,1
1,0,0,1,0,1,1,1,1
0,1,0,1,0,0,1,1,1
1,1,1,1,0,1,1,1,1
1,1,0,1,0,0,1,1,1
0,0,0,1,0,0,1,1,1
0,0,0,1,1,0,1,1,1
0,1,0,0,1,1,1,1,1
0,1,0,0,1,1,1,1,1
0,1,0,0,1,1,1,1,1
0,1,0,0,1,1,1,1,1
0,1,0,0,1,1,1,1,1
0,1,0,0,1,1,1,1,1
0,1,0,0,1,1,1,1,1
1,0,0,0,0,0,0,0,2
1,1,1,0,0,0,1,0,2
1,0,0,0,0,0,0,0,2
1,0,1,0,1,0,0,0,2
1,0,1,1,0,1,0,0,2
1,1,1,0,0,1,1,0,2
1,0,1,1,1,1,0,0,2
1,0,1,0,0,0,1,0,2
1,1,0,1,1,0,0,0,2
1,0,0,1,0,0,0,0,2
1,1,0,0,0,0,1,0,2
1,1,0,1,0,0,0,0,2
